Path 
533.48, 500.8, 511.69, 504.0, 516.69, 498.52, 503.71, 500.74, 
510.06, 481.68, 520.51, 518.5, 519.29, 505.2, 524.81, 515.75, 
486.88, 488.93, 488.36, 517.41, 481.57, 490.88, 485.27, 499.75, 
482.96, 496.9, 490.87, 499.97, 467.56, 496.94, 496.69, 499.12, 
507.0, 497.86, 516.56, 502.07, 503.17, 501.57, 553.45, 523.95, 
523.08, 519.64, 524.69, 505.63, 518.81, 511.4, 522.95, 492.49, 
496.03, 520.72, 499.19, 505.45, 495.16, 512.01, 499.91, 501.68, 
490.21, 497.8, 474.17, 494.55, 490.28, 494.02, 478.73, 492.09, 
513.49, 497.08, 500.53, 495.86, 517.93, 494.21, 502.23, 492.79, 
501.43, 489.15, 505.26, 494.57, 501.13, 481.08, 506.02, 502.35, 
469.37, 479.58, 472.38, 484.27, 467.24, 472.11, 469.33, 491.81, 
472.18, 510.24, 508.27, 509.04, 495.22, 514.44, 505.56, 513.01, 
502.11, 501.52, 531.35, 494.55, 504.11, 498.35, 513.22, 496.28, 
514.43, 508.19, 517.61, 484.06, 514.48, 514.22, 516.73, 503.63, 
490.99, 509.43, 495.14, 496.22, 494.64, 545.81, 516.72, 527.53, 
496.71, 501.53, 483.32, 495.92, 488.83, 499.87, 470.75, 504.82, 
524.89, 503.18, 509.5, 499.13, 516.12, 503.92, 505.7, 504.77, 
507.74, 483.64, 504.43, 500.08, 503.89, 488.3, 501.93, 495.48, 
484.02, 487.38, 482.84, 504.33, 481.23, 489.04, 479.85, 497.29, 
487.76, 503.83, 493.17, 499.72, 479.72, 504.58, 500.92, 505.43, 
510.88, 503.21, 515.88, 497.73, 502.91, 499.95, 523.9, 501.5, 
540.31, 538.22, 539.03, 524.4, 544.76, 535.36, 543.25, 516.49, 
499.41, 529.11, 492.46, 501.98, 496.25, 511.06, 494.2, 497.29, 
493.93, 503.09, 470.48, 500.05, 499.8, 502.24, 489.51, 505.12, 
518.78, 504.22, 505.32, 503.71, 555.81, 526.18, 537.19, 528.72, 
504.85, 486.51, 499.19, 492.06, 503.17, 473.86, 508.15, 505.85, 
479.32, 485.34, 475.46, 491.64, 480.02, 481.72, 480.83, 508.05, 
476.26, 496.73, 492.44, 496.19, 480.83, 494.25, 487.9, 496.57, 
503.47, 498.78, 520.98, 497.12, 505.19, 495.7, 513.71, 498.81, 
516.47, 505.54, 512.25, 491.75, 517.24, 513.49, 518.12, 498.69, 
